chemistry,method,representation,phase,n,accuracy
Li-Ti-P-O,RBF-SVM,PDF,Li2O_225,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li2Ti2(PO4)3_60,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li2Ti3O7_11,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li2TiO3_15,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li3PO4_31,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li3PO4_62,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li3Ti4O8_3,1,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li4P2O7_14,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li4P2O7_2,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li4P4O17_15,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li4Ti5O12_227,4,0.5
Li-Ti-P-O,RBF-SVM,PDF,Li4TiO4_63,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Li8PO3_221,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiOH-H2O_12,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiOH_129,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiPO3_13,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiPO3_14,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiPO4_146,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiP_14,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTi2(PO4)3_167,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTi2O4_11,2,0.5
Li-Ti-P-O,RBF-SVM,PDF,LiTi2O4_12,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTi2O4_227,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTi2O4_31,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTi2O4_58,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTiO2_141,4,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTiO2_227,3,0.6666666666666666
Li-Ti-P-O,RBF-SVM,PDF,LiTiP2O7_4,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTiPO5_2,4,1.0
Li-Ti-P-O,RBF-SVM,PDF,LiTiPO5_62,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,NH4H2PO4_122,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,P2O5_161,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,P2O5_43,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,P2O5_62,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,Ti(PO3)3_9,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,Ti(PO5)2_4,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Ti2P2O11_2,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Ti2P2O9_2,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,Ti3PO2_164,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Ti4(PO5)3_43,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,Ti5(PO5)4_19,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiO2_136,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiO2_141,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiP2O7_205,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiP2O9_14,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiP2_62,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiPO4_11,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiPO4_14,3,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiPO4_31,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiP_193,2,1.0
Li-Ti-P-O,RBF-SVM,PDF,TiP_194,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li2CO3_15,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li2O_166,4,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li2O_225,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li2Ti2(PO4)3_60,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li2Ti3O7_11,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li2TiO3_15,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li3PO4_31,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li3PO4_62,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li3Ti4O8_3,1,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li4P2O7_14,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li4P2O7_2,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li4P4O17_15,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li4Ti5O12_227,4,0.5
Li-Ti-P-O,RBF-SVM,Combined,Li4TiO4_63,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Li8PO3_221,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiOH-H2O_12,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiOH_129,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiPO3_13,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiPO3_14,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiPO4_146,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiP_14,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTi2(PO4)3_167,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTi2O4_11,2,0.5
Li-Ti-P-O,RBF-SVM,Combined,LiTi2O4_12,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTi2O4_227,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTi2O4_31,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTi2O4_58,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTiO2_141,4,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTiO2_227,3,0.6666666666666666
Li-Ti-P-O,RBF-SVM,Combined,LiTiP2O7_4,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTiPO5_2,4,1.0
Li-Ti-P-O,RBF-SVM,Combined,LiTiPO5_62,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,NH4H2PO4_122,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,P2O5_161,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,P2O5_43,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,P2O5_62,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,Ti(PO3)3_9,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,Ti(PO5)2_4,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Ti2P2O11_2,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Ti2P2O9_2,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,Ti3PO2_164,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Ti4(PO5)3_43,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,Ti5(PO5)4_19,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiO2_136,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiO2_141,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiP2O7_205,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiP2O9_14,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiP2_62,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiPO4_11,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiPO4_14,3,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiPO4_31,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiP_193,2,1.0
Li-Ti-P-O,RBF-SVM,Combined,TiP_194,3,1.0
